#(Ei − Ef) / eV 	H atom flux
-1.06937	0
-1.04983	0
-1.03029	0
-1.01075	0
-0.99121	0
-0.97167	0
-0.95213	0
-0.93259	0
-0.91305	-0.00785
-0.89352	-0.02696
-0.87398	0
-0.85444	0
-0.8349	0
-0.81536	0
-0.79582	-0.01309
-0.77628	-0.03457
-0.75674	-0.0205
-0.7372	-2.77E-05
-0.71766	-0.01716
-0.69812	-0.01627
-0.67859	0
-0.65905	0
-0.63951	0.02194
-0.61997	0.01113
-0.60043	0
-0.58089	0
-0.56135	-0.02548
-0.54181	-0.00693
-0.52227	0.0523
-0.50273	0.01154
-0.48319	0
-0.46366	0
-0.44412	0
-0.42458	0
-0.40504	0
-0.3855	0
-0.36596	0
-0.34642	0
-0.32688	0
-0.30734	-0.03026
-0.2878	-0.0016
-0.26826	0
-0.24872	0
-0.22919	-4.67E-05
-0.20965	-1.32E-06
-0.19011	0
-0.17057	0
-0.15103	0.02882
-0.13149	0.03031
-0.11195	0.0306
-0.09241	0.05752
-0.07287	0.02915
-0.05333	0.17693
-0.03379	0.21436
-0.01426	0.42038
0.00528	0.29778
0.02482	0.86385
0.04436	0.79731
0.0639	1
0.08344	0.94409
0.10298	0.67943
0.12252	0.61601
0.14206	0.44605
0.1616	0.54916
0.18114	0.39783
0.20067	0.32668
0.22021	0.37549
0.23975	0.18743
0.25929	0.26713
0.27883	0.26626
0.29837	0.15846
0.31791	0.21277
0.33745	0.24988
0.35699	0.05222
0.37653	0.07569
0.39607	0.15211
0.4156	0.1245
0.43514	0.12529
0.45468	0.16851
0.47422	0.12718
0.49376	0.1882
0.5133	0.19627
0.53284	0.08475
0.55238	0.09144
0.57192	0.21858
0.59146	0.25446
0.611	0.36771
0.63053	0.26397
0.65007	0.2854
0.66961	0.40104
0.68915	0.35781
0.70869	0.32208
0.72823	0.315
0.74777	0.43989
0.76731	0.49933
0.78685	0.50079
0.80639	0.4369
0.82593	0.34906
0.84546	0.41115
0.865	0.49489
0.88454	0.48992
0.90408	0.47817
0.92362	0.48151
0.94316	0.50267
0.9627	0.42469
0.98224	0.4536
1.00178	0.53472
1.02132	0.49745
1.04086	0.51214
1.06039	0.52784
1.07993	0.54322
1.09947	0.53121
1.11901	0.58623
1.13855	0.59139
1.15809	0.46921
1.17763	0.49247
1.19717	0.47651
1.21671	0.52793
1.23625	0.44994
1.25579	0.37056
1.27532	0.44873
1.29486	0.37745
1.3144	0.31391
1.33394	0.3211
1.35348	0.3886
1.37302	0.34657
1.39256	0.30878
1.4121	0.38335
1.43164	0.34657
1.45118	0.24374
1.47072	0.20488
1.49025	0.21474
1.50979	0.20932
1.52933	0.21566
1.54887	0.27805
1.56841	0.22878
1.58795	0.16763
1.60749	0.18998
1.62703	0.18137
1.64657	0.16029
1.66611	0.16437
1.68565	0.12535
1.70518	0.08975
1.72472	0.10034
1.74426	0.10091
1.7638	0.08943
1.78334	0.065
1.80288	0.05312
1.82242	0.03543
1.84196	0.01148
1.8615	0.0048

