IncidenceEnergy(eV) EnergyLoss(eV) Error(eV)
0.2 6.771847837427902e-6 1.3010178991488832e-5
0.225 3.7710543737690116e-6 5.089466878846597e-6
0.25 7.342674522847759e-7 4.720423053496299e-17
0.275 3.8572407923265217e-7 0.0
0.3 1.1212380102543218e-5 1.4746530935366023e-5
0.325 4.54362431040467e-6 3.0489414558825272e-5
0.35 -9.871448459763954e-7 6.951500575983793e-6
0.375 1.1746170589521654e-6 0.0
0.4 -6.598990941630856e-6 1.0654735614481136e-5
0.425 1.8461763475197124e-5 1.9933414173082597e-5
0.45 -4.86934667287553e-6 1.9860285328912532e-5
0.475 2.078633778318517e-5 2.327416482851562e-5
0.5 4.876660184394144e-6 6.511990928927882e-6
0.525 0.0023066966137782474 0.0022615496434336656
0.55 0.014918727399184095 0.005663243034566727
0.575 0.01758558525131615 0.006309636067038835
0.6 0.02592128151904316 0.007498611114629227
0.625 0.028466481433983004 0.008047747532478115
0.65 0.03856583530721158 0.009395999121010244
0.675 0.04155419369720115 0.009956858152627283
0.7 0.04830215869321519 0.01076852504216456
0.725 0.05398366897927509 0.01125687330375271
0.75 0.04879004425865896 0.010936273766481416
0.775 0.06024541619743262 0.012241112140405809
0.8 0.06028269238299022 0.012360540471307488
